[0 0]
[['X' '-' '-']
 ['-' 'O' '-']
 ['-' '-' '-']]
         4289602 function calls (4231841 primitive calls) in 15.862 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  151/149    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
      161    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:146(__enter__)
      146    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      158    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:57(__init__)
        1    0.001    0.001    0.005    0.005 core.py:21(<module>)
        9    0.001    0.000    0.012    0.001 __init__.py:356(namedtuple)
   114/62    0.001    0.000    0.001    0.000 sre_parse.py:173(getwidth)
      131    0.001    0.000    0.022    0.000 re.py:286(_compile)
      210    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      253    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      548    0.001    0.000    0.001    0.000 sre_parse.py:253(get)
      272    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:389(cached)
      125    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      335    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:402(parent)
      105    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.002    0.002 getlimits.py:3(<module>)
     1741    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.005    0.005 numerictypes.py:81(<module>)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      154    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      458    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:834(__enter__)
     22/9    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
        1    0.000    0.000    0.016    0.016 numeric.py:1(<module>)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      804    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      248    0.000    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
      151    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       12    0.000    0.000    0.002    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.007    0.007 tokenize.py:21(<module>)
      458    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:838(__exit__)
      194    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      296    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
      251    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      251    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      695    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       35    0.000    0.000    0.001    0.000 functools.py:44(update_wrapper)
      126    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        4    0.000    0.000    0.001    0.000 numeric.py:2916(extend_all)
       13    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
       53    0.000    0.000    0.001    0.000 core.py:893(__init__)
      604    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
      161    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:153(__exit__)
       46    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
       39    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
       19    0.000    0.000    0.007    0.000 sre_parse.py:845(parse)
        1    0.000    0.000    0.297    0.297 __init__.py:106(<module>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       19    0.000    0.000    0.021    0.001 sre_compile.py:557(compile)
    220/5    0.000    0.000    0.298    0.060 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
  154/120    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
        6    0.000    0.000    0.001    0.000 getlimits.py:65(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:259(_reset_cache)
       61    0.000    0.000    0.000    0.000 enum.py:351(__setattr__)
      167    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      401    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
    33/19    0.000    0.000    0.006    0.000 sre_parse.py:407(_parse_sub)
      277    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(__init__)
       56    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        9    0.000    0.000    0.000    0.000 datetime.py:355(__new__)
      321    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      385    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      151    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       31    0.000    0.000    0.007    0.000 sre_compile.py:223(_compile_charset)
       19    0.000    0.000    0.001    0.000 sre_compile.py:482(_compile_info)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
       90    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.258    0.258 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.026    0.026 random.py:38(<module>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
       51    0.000    0.000    0.001    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.001    0.001 numerictypes.py:299(_add_aliases)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      328    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
       71    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       54    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
    20/19    0.000    0.000    0.059    0.003 <frozen importlib._bootstrap_external>:919(create_module)
      458    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      248    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
     16/2    0.000    0.000    0.000    0.000 arrayprint.py:694(recurser)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      199    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
        2    0.000    0.000    0.060    0.030 __init__.py:45(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:623(<listcomp>)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.053    0.053 utils.py:4(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
       59    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      277    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
      162    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      177    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        1    0.000    0.000    0.011    0.011 __init__.py:41(<module>)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
      107    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        4    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      102    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       42    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        3    0.000    0.000    0.003    0.001 enum.py:364(_create_)
       33    0.000    0.000    0.001    0.000 enum.py:791(__or__)
        1    0.000    0.000    0.013    0.013 __init__.py:24(<module>)
       13    0.000    0.000    0.001    0.000 sre_compile.py:376(_mk_bitmap)
       12    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
       66    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
      308    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      314    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
        1    0.000    0.000    0.015    0.015 shutil.py:5(<module>)
      102    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      102    0.000    0.000    0.001    0.000 re.py:169(match)
       32    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
       19    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       80    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.006    0.006 parse.py:28(<module>)
       19    0.000    0.000    0.013    0.001 sre_compile.py:542(_code)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
      113    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
       19    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        1    0.000    0.000    0.006    0.006 pickle.py:24(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.004    0.004 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
       26    0.000    0.000    0.001    0.000 core.py:6573(getdoc)
        1    0.000    0.000    0.002    0.002 tarfile.py:30(<module>)
        1    0.000    0.000    0.036    0.036 _internal.py:6(<module>)
